date;country;risk;title;fake;supChainName;location;typeOfTransport
04.03.2022;Ukraine;Trade Tensions;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;Bosch Solarpanels;Ukraine;ship
04.03.2022;Ukraine;Political Instability;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;Bosch Solarpanels;Ukraine;ship
04.03.2022;Ukraine;Economic Sanctions;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;Bosch Solarpanels;Ukraine;ship
04.03.2022;Ukraine;Natural disasters;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;Bosch Solarpanels;Ukraine;ship
04.03.2022;Ukraine;Conflicts;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;Bosch Solarpanels;Ukraine;ship
04.03.2022;Russia;Trade Tensions;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;Bosch Battery;Russia;train
04.03.2022;Russia;Political Instability;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;Bosch Battery;Russia;train
04.03.2022;Russia;Economic Sanctions;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;Bosch Battery;Russia;train
04.03.2022;Russia;Conflicts;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;Bosch Battery;Russia;train
04.03.2022;Poland;Trade Tensions;"['Ukraine war: Why Kherson and Mariupol are key to Russian success', ""Why doesn't Ukraine attack the Russian convoy? And other questions"", 'War in Ukraine: Russians on boycotts, sanctions and cancellations', ""Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'"", 'Nuclear plant: How close was nuclear plant attack to catastrophe?', 'Five ways the Ukraine war could push up prices']";No;Bosch Solarpanels;Poland;truck
