date,country,risk
2022-03-04,Ukraine,Trade tensions
2022-03-04,Ukraine,Political instability
2022-03-04,Ukraine,Economic sanctions
2022-03-04,Ukraine,Natural disasters
2022-03-04,Ukraine,Conflicts
2022-03-04,Russia,Trade tensions
2022-03-04,Russia,Political instability
2022-03-04,Russia,Economic sanctions
2022-03-04,Russia,Conflicts
2022-03-04,Poland,Trade tensions
2022-03-04,Poland,Political instability
2022-03-04,Poland,Economic sanctions
2022-03-04,Baltic states,Trade tensions
2022-03-04,Baltic states,Political instability
2022-03-04,Baltic states,Economic sanctions
2022-03-04,Germany,Trade tensions
2022-03-04,Germany,Economic sanctions
2022-03-04,Germany,Regulatory changes
2022-03-04,Germany,Stock market volatility
2022-03-04,UK,Trade tensions
2022-03-04,UK,Economic sanctions
2022-03-04,UK,Regulatory changes
2022-03-04,UK,Inflation
2022-03-04,UK,Stock market volatility
2022-03-04,Europe,Trade tensions
2022-03-04,Europe,Economic sanctions
2022-03-04,Europe,Inflation
2022-03-04,Europe,Stock market volatility
2022-03-04,US,Trade tensions
2022-03-04,US,Economic sanctions
2022-03-04,US,Inflation
2022-03-04,US,Stock market volatility
2022-03-04,Turkey,Trade tensions
2022-03-04,Turkey,Economic sanctions
2022-03-04,Turkey,Inflation
2022-03-04,North Africa,Trade tensions
2022-03-04,North Africa,Economic sanctions
2022-03-04,North Africa,Inflation
